Nelebrin Skirmisher	,	3	,	GOLD	,	3000.0000	,	2014-10-10	,	1
Nibblin Hunting Pack	,	3	,	GOLD	,	220.0000	,	2014-10-10	,	2
Noble Citizenry	,	2	,	GOLD	,	79.3333	,	2014-10-10	,	12
Oakhenge Ceremony	,	3	,	GOLD	,	1392.0000	,	2014-10-10	,	3
Oakhenge Ceremony	,	3	,	PLATINUM	,	24.3333	,	2014-10-10	,	3
Oath of Valor	,	4	,	PLATINUM	,	84.6000	,	2014-10-10	,	5
Onslaught	,	4	,	GOLD	,	2000.0000	,	2014-10-10	,	1
Onslaught	,	4	,	PLATINUM	,	31.0000	,	2014-10-10	,	1
Oracle Song	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	2
Oracle Song	,	2	,	GOLD	,	699.0000	,	2014-10-10	,	1
Pack Raptor	,	6	,	PLATINUM	,	961.8000	,	2014-10-10	,	5
Pact of Life	,	4	,	GOLD	,	1555.0000	,	2014-10-10	,	2
Pact of Life	,	4	,	PLATINUM	,	94.6250	,	2014-10-10	,	8
Pact of Pain	,	4	,	PLATINUM	,	235.7500	,	2014-10-10	,	4
Peek	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	3
Phoenix Guard Aeronaut	,	3	,	GOLD	,	698.5000	,	2014-10-10	,	2
Phoenix Guard Scout	,	2	,	GOLD	,	149.0000	,	2014-10-10	,	1
Phoenix Guard Scout	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Phoenix Guard Trainer	,	2	,	GOLD	,	75.0000	,	2014-10-10	,	2
Plan C	,	4	,	GOLD	,	5500.0000	,	2014-10-10	,	1
Plant Garden	,	4	,	PLATINUM	,	48.8000	,	2014-10-10	,	5
Plant Garden	,	4	,	GOLD	,	10000.0000	,	2014-10-10	,	1
Princess Victoria	,	4	,	PLATINUM	,	77.0000	,	2014-10-10	,	2
Prophet of Lodegan	,	4	,	GOLD	,	5499.5000	,	2014-10-10	,	2
Prophet of Lodegan	,	4	,	PLATINUM	,	31.0000	,	2014-10-10	,	4
Protectorate Clergyman	,	3	,	GOLD	,	2999.0000	,	2014-10-10	,	1
Protectorate Clergyman	,	3	,	PLATINUM	,	12.0000	,	2014-10-10	,	3
Protectorate Defender	,	4	,	PLATINUM	,	208.3333	,	2014-10-10	,	6
Protectorate Sorcerer	,	2	,	GOLD	,	100.0000	,	2014-10-10	,	2
Pterobot	,	2	,	GOLD	,	36.3333	,	2014-10-10	,	3
Puck Dream Bringer	,	4	,	GOLD	,	5000.0000	,	2014-10-10	,	1
Puck Dream Bringer	,	4	,	PLATINUM	,	67.0000	,	2014-10-10	,	1
Quick Strider	,	2	,	GOLD	,	100.0000	,	2014-10-10	,	4
Quick Strider	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	2
Radiant Armor	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Radiant Armor	,	2	,	GOLD	,	75.0000	,	2014-10-10	,	3
Ragefire	,	4	,	PLATINUM	,	164.0000	,	2014-10-10	,	4
Rampaging Tarasque	,	6	,	PLATINUM	,	199.5000	,	2014-10-10	,	2
Reginald Lancashire	,	6	,	PLATINUM	,	331.5000	,	2014-10-10	,	6
Relentless Corruption	,	4	,	PLATINUM	,	219.8571	,	2014-10-10	,	7
Repel	,	2	,	GOLD	,	200.0000	,	2014-10-10	,	1
Repel	,	2	,	PLATINUM	,	3.8333	,	2014-10-10	,	6
Replicator's Gambit	,	4	,	PLATINUM	,	293.2222	,	2014-10-10	,	9
Research Librarian	,	3	,	GOLD	,	675.5000	,	2014-10-10	,	2
Resurrection	,	6	,	PLATINUM	,	140.0000	,	2014-10-10	,	3
Resurrection	,	6	,	GOLD	,	32000.0000	,	2014-10-10	,	1
Reversion	,	2	,	GOLD	,	95.0000	,	2014-10-10	,	2
Righteous Paladin	,	3	,	GOLD	,	2250.0000	,	2014-10-10	,	4
Righteous Paladin	,	3	,	PLATINUM	,	22.8571	,	2014-10-10	,	7
Ritualist of the Spring Litter	,	4	,	PLATINUM	,	170.0000	,	2014-10-10	,	2
Rose Lion	,	3	,	GOLD	,	650.0000	,	2014-10-10	,	1
Royal Falconer	,	4	,	PLATINUM	,	175.0000	,	2014-10-10	,	2
Royal Falconer	,	4	,	GOLD	,	22000.0000	,	2014-10-10	,	1
Ruby Aura	,	2	,	GOLD	,	69.7778	,	2014-10-10	,	9
Ruby Enchantress	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	1
Ruby Lance	,	2	,	GOLD	,	105.5556	,	2014-10-10	,	9
